Workstream,Year,Series,FTEs,Filter By Workstream,Filter By Year,Filter By Series
FLD_EXAM,Y-2016,S-0335,2.36348101989294,FLD_EXAM,Y-2016,S-0335
FLD_EXAM,Y-2016,S-0340,21.3346149898785,FLD_EXAM,Y-2016,S-0340
FLD_EXAM,Y-2016,S-0343,17.3038507406707,FLD_EXAM,Y-2016,S-0343
FLD_EXAM,Y-2016,S-0344,14.6985739821071,FLD_EXAM,Y-2016,S-0344
FLD_EXAM,Y-2016,S-0356,0.47950420974627,FLD_EXAM,Y-2016,S-0356
FLD_EXAM,Y-2016,S-0399,2.48591914178954,FLD_EXAM,Y-2016,S-0399
FLD_EXAM,Y-2016,S-0501,15.964229705555,FLD_EXAM,Y-2016,S-0501
FLD_EXAM,Y-2016,S-0503,24.6295260762615,FLD_EXAM,Y-2016,S-0503
FLD_EXAM,Y-2016,S-0512,978.657759378007,FLD_EXAM,Y-2016,S-0512
FLD_EXAM,Y-2016,S-0560,0.20049500282239,FLD_EXAM,Y-2016,S-0560
FLD_EXAM,Y-2016,S-0592,32.2409930979474,FLD_EXAM,Y-2016,S-0592
FLD_EXAM,Y-2016,S-0599,3.49902417746623,FLD_EXAM,Y-2016,S-0599
FLD_EXAM,Y-2016,S-0905,0.272843077097786,FLD_EXAM,Y-2016,S-0905
FLD_EXAM,Y-2016,S-0962,0.116623790849702,FLD_EXAM,Y-2016,S-0962
FLD_EXAM,Y-2016,S-0986,0.035986043107262,FLD_EXAM,Y-2016,S-0986
FLD_EXAM,Y-2016,S-0987,0.15285265535117,FLD_EXAM,Y-2016,S-0987
FLD_EXAM,Y-2016,S-1035,0.15285265535117,FLD_EXAM,Y-2016,S-1035
FLD_EXAM,Y-2016,S-1169,0.632356865097439,FLD_EXAM,Y-2016,S-1169
FLD_EXAM,Y-2016,S-1515,0.116623790849702,FLD_EXAM,Y-2016,S-1515
FLD_EXAM,Y-2016,S-1802,0.035986043107262,FLD_EXAM,Y-2016,S-1802
FLD_EXAM,Y-2016,S-2210,1.30322494674056,FLD_EXAM,Y-2016,S-2210
